YearMonthDay,HourMinuteSecond,TimeZone,TimeStampUNIX,LogActionCode,FromFile,Log
2024-06-10,21:06:00,IST,1718033760,#000014,__main__,setTkFrameNameError: name 'setTkFrameName' is not defined
2024-06-10,21:30:03,IST,1718035203,#000014,__main__,setTkFrameNameError: 'MainApplication' object has no attribute 'pureTkGUIfunctions'
2024-06-10,21:33:19,IST,1718035399,#000014,__main__,setTkFrameNameError: name 'tkFrameRoot' is not defined
2024-06-10,21:34:43,IST,1718035483,#000014,__main__,setTkFrameNameError: pureTkGUIfunctions._setTkFrameName() missing 1 required positional argument: 'name'
2024-06-10,21:38:06,IST,1718035686,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:39:28,IST,1718035768,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:39:39,IST,1718035779,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:40:05,IST,1718035805,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:40:39,IST,1718035839,#000014,__main__,setTkFrameNameError: name 'AppName' is not defined
2024-06-10,21:40:53,IST,1718035853,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:41:04,IST,1718035864,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:41:15,IST,1718035875,#000014,__main__,setTkFrameNameError: name '_setTkFrameName' is not defined
2024-06-10,21:41:23,IST,1718035883,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:41:47,IST,1718035907,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:43:45,IST,1718036025,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:46:16,IST,1718036176,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:46:37,IST,1718036197,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:47:18,IST,1718036238,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:47:31,IST,1718036251,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:47:45,IST,1718036265,#000014,__main__,setTkFrameNameError: 'MainApplication' object has no attribute '_setTkFrameName'
2024-06-10,21:48:07,IST,1718036287,#000014,__main__,setTkFrameNameError: 'MainApplication' object has no attribute '_setTkFrameName'
2024-06-10,21:48:15,IST,1718036295,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:48:46,IST,1718036326,#000014,__main__,setTkFrameNameError: name 'AppName' is not defined
2024-06-10,21:48:55,IST,1718036335,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:49:10,IST,1718036350,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,21:49:22,IST,1718036362,#000014,__main__,setTkFrameNameError: 'NoneType' object is not callable
2024-06-10,22:54:25,IST,1718040265,#000014,__main__,setTkFrameNameError: 'NoneType' object has no attribute '__name__'
